ITEM,DEPARTAMENTO,SETOR,SALA,TOMBAMENTO,"TOMBAMENTO
SINVREA",N° DE SÉRIE,DESCRIÇÃO DO BEM,REF. CONTÁBIL,OBSERVAÇÕES SOBRE O BEM,"ESTADO DE
CONSERVAÇÃO","VALOR REAVALIADO (PELA
AVALIAÇÃO DO SINVREA)"
21,"DELEGACIA DA MULHER - PC -
GUAJARÁ-MIRIM",GABINETE DO DELEGADO,,47477,316037,,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"MULTIFUNCIONAL,SCANNER,FAX,IMPRESSORA OFFICE JET PRO
8600 HP JATO DE TINTA,COLORIDA,CONEXÃO 01 USB,01
TELEFONE,01 RJ 45
Dt. aquisição: 10/06/2013",BOM,"R$                                246,00"
22,"DELEGACIA REGIONAL - PC -
GUAJARÁ-MIRIM",ADMINISTRAÇÃO,,47503,315908,,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"IMPRESSORA HP OFFICEJET PRO 8600 MULTIFUNCIONAL
SCANNER FAX IMPRESSORA
Dt. aquisição: 10/06/2013
Convenio: CONVENIO N.o 761513/2011-SENASP/MJ",BOM,"R$                                 227,50"
23,"DELEGACIA DE POLÍCIA - PC -
EXTREMA",CARTÓRIO,,47465,321732,,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"MULTIFUNCIONAL SCANNER,FAX,IMPRESSORA OFFICEJET PRO
8600 HP JATO DE TINTA COLORIDA CONEXÃO 01 USB 01
TELEFONE 01 RJ 45 OFFICE PRO 8600
Dt. aquisição: 10/06/2013",BOM,"R$                                 368,59"
24,"DELEGACIA REGIONAL - PC -
GUAJARÁ-MIRIM",CARTÓRIO 02,DEPÓSITO,47507,331681,,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"MULTIFUNCIONAL HP OFFICEJET PRO 8600 SCANNER, FAX,
IMPRESSORA, JATO DE TINTA, COLORIDA, CONEXÃO 01 USB, 01
TELEFONE, 01 RJ 45
Dt. aquisição: 10/06/2013
Convenio: CONVENIO N.o 761513/2011-SENASP/MJ",BOM,"R$                                247,00"
25,DEI- DRACO - PORTO VELHO,"LABORATÓRIO CONTRA
LAVAGEM DE DINHEIRO",,51405,711471,4063369909KB1,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"IMPRESSORA LEXMARK MS810  LASER MONOCROMÁTICA 53
PPM
Dt. aquisição: 04/08/2014
Convenio: FUNRESPOL/PC",BOM,"R$                              1 .230,00"
26,JARU - DELEGACIA REGIONAL,DELEGADO DEAM,,18062,428852,E8BY359250,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"IMPRESSORA P/COMPUTADOR EPSON MATRICIAL 80 COLUNAS
MOD FX-890
Dt. aquisição: 16/04/2009",BOM,"R$                                 416,00"
27,JI-PARANÁ - DEAM,CARTÓRIO,,51029,453161,511279,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"SCANNER FUJITSU MOD. F1-6110
Dt. aquisição: 02/07/2014
Convenio: FUNRESPOL PC",BOM,"R$                                574,00"
28,JI-PARANÁ - DEAM,CARTÓRIO,,51013,453114,511290,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"SCANNER FUJITSU MOD. F1-6110
Dt. aquisição: 02/07/2014
Convenio: FUNRESPOL PC",BOM,"R$                                 574,00"
29,"SERINGUEIRAS - DELEGACIA DE
POLÍCIA CIVIL",DEPÓSITO,,18107,474282,E8BY371263,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"IMPRESSORA P/ COMPUTADOR FX-890 EPSON MATRICIAL 80
COLUNAS
Dt. aquisição: 16/04/2009",BOM,"R$                                 656,00"
30,"SERINGUEIRAS - DELEGACIA DE
POLÍCIA CIVIL",DEPÓSITO DE CARTÓRIO,,37621,474979,NZFM003924,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"IMPRESSORA P/ COMPUTADOR EPSON MATRICIAL DE IMPACTO
9 AGULHAS MOD FX-890
Dt. aquisição: 27/07/2011",BOM,"R$                                676,50"
31,"SÃO MIGUEL - DELEGACIA DE
POLÍCIA CIVIL",DELEGADO TITULAR,,23355,480322,590094D,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"IMPRESSORA LEXMARK P/ COMPUTADOR MULTIFUNCIONAL
600X600DPI MOD. X203N
Dt. aquisição: 15/10/2009
Convenio: SESDEC",BOM,"R$                                943,00"
32,"SÃO MIGUEL - DELEGACIA DE
POLÍCIA CIVIL",COMISSARIADO,,18098,480222,E8BY363296,"APARELHO MULTIFUNCIONAL ( FAX; IMPRESSORA;
SCANNER; COPIADORA; DIGITALIZADORA )",1.2.3.1.1.02.01,"IMPRESSORA P/ COMPUTADOR EPSON MATRICIAL 80 COLUNAS
MOD. FX-890
Dt. aquisição: 16/04/2009
Convenio: CONVENIO 003/2010-SENASP/MJ",REGULAR,"R$                                 464,00"
